,Document Name,Chln.No,Chln.Date,Po No,Po Date,Party.Chln.No,Party.Chln.Date,Party Name,SR NO,ITEM NAME,,UOM,BATCH NO,TR QTY,TR RATE,EXP DATE,LOCATION,Discount,Disc.Value,NET RATE,CGST,CGST Amt,SGST/IGST,SGST/IGST AMT,TOT AMT,Remarks
,PC,1,26-03-2020,108,25-03-2020,3036,23-03-2020,PARAMOUNT,1,SCALP VEIN SET NG 23,,NOS,,200.000,4.52,,,,0.00,0.00,CGST 6%,54.00,CGST 6%,54.00,1012.00,
,PC,1,26-03-2020,108,25-03-2020,3036,23-03-2020,PARAMOUNT,2,B I VALVE,,NOS,,250.000,9.80,,,,0.00,0.00,CGST 6%,147.00,CGST 6%,147.00,2744.00,
,PC,1,26-03-2020,108,25-03-2020,3036,23-03-2020,PARAMOUNT,3,FG-06 FEEDY GRADUATED INFANT FEEDING TUBE,,NOS,,20.000,6.75,,,,0.00,0.00,CGST 6%,8.00,CGST 6%,8.00,151.00,
,PC,1,26-03-2020,108,25-03-2020,3036,23-03-2020,PARAMOUNT,4,GREEN VEIN FLOW,,NOS,,200.000,15.75,,,,0.00,0.00,CGST 6%,189.00,CGST 6%,189.00,3528.00,
,PC,2,26-03-2020,107,24-03-2020,1713,16-03-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,BACTORUB BLUE,,ML,,15.000,148.00,01/09/2022,,,0.00,0.00,CGST 6%,133.00,CGST 6%,133.00,2486.00,
,PC,3,26-03-2020,107,24-03-2020,1754,23-03-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,COTTON ROLL,,NOS,,5.000,110.00,,,,0.00,0.00,CGST 6%,33.00,CGST 6%,33.00,616.00,
,PC,3,26-03-2020,107,24-03-2020,1754,23-03-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,2,MANITOL INJECTION,,Bot,,20.000,25.00,01/07/2022,,,0.00,0.00,CGST 6%,30.00,CGST 6%,30.00,560.00,
,PC,3,26-03-2020,107,24-03-2020,1754,23-03-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,3,BARIUM LIQUID,,ML,,3.000,291.00,01/10/2020,,,0.00,0.00,CGST 6%,52.00,CGST 6%,52.00,977.00,
,PC,4,09-04-2020,115,08-04-2020,1807,08-04-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,NIPRO WING CATH   20G PINK,,NOS,,200.000,16.20,01/09/2024,,,0.00,0.00,CGST 6%,194.00,CGST 6%,194.00,3628.00,
,PC,5,22-04-2020,120,20-04-2020,,20-04-2020,BHAVNA CLEANING,1,HARPIC,,NOS,,12.000,70.00,,,,0.00,0.00,,0.00,,0.00,840.00,REQ. OF APR-MAY-2020
,PC,5,22-04-2020,120,20-04-2020,,20-04-2020,BHAVNA CLEANING,2,CLEAN MATE COLIN,,NOS,,5.000,40.00,,,,0.00,0.00,,0.00,,0.00,200.00,REQ. OF APR-MAY-2020
,PC,5,22-04-2020,120,20-04-2020,,20-04-2020,BHAVNA CLEANING,3,PHENYLE LIQUID,,LTR,,50.000,65.00,,,,0.00,0.00,,0.00,,0.00,3250.00,REQ. OF APR-MAY-2020
,PC,5,22-04-2020,120,20-04-2020,,20-04-2020,BHAVNA CLEANING,4,NIRMA DETERGENT CAKE SOAP,,NOS,,10.000,10.00,,,,0.00,0.00,,0.00,,0.00,100.00,REQ. OF APR-MAY-2020
,PC,6,01-05-2020,129,01-05-2020,1820,17-04-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,MEDI TAPE SURGICAL,,PKT,,2.000,310.00,01/10/2022,,,0.00,0.00,CGST 6%,37.00,CGST 6%,37.00,694.00,RECEIVED DATE 17.4.2020
,PC,7,01-05-2020,129,01-05-2020,1854,30-04-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,LOW POWDER EXAMINATION GLOVES KALTEX,,PKT,,20.000,330.00,01/12/2022,,,0.00,0.00,CGST 6%,396.00,CGST 6%,396.00,7392.00,RECEIVED DATE 30.4.2020
,PC,8,01-05-2020,129,01-05-2020,1857,01-05-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,BACTORUB BLUE,,BOT,,10.000,185.00,01/03/2023,,,0.00,0.00,CGST 6%,111.00,CGST 6%,111.00,2072.00,RECEIVED DATE 01.05.2020
,PC,8,01-05-2020,129,01-05-2020,1857,01-05-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,2,BARIUM LIQUID,,ML,,2.000,291.00,01/10/2020,,,0.00,0.00,CGST 6%,35.00,CGST 6%,35.00,652.00,RECEIVED DATE 01.05.2020
,PC,9,05-05-2020,131,04-05-2020,3119,17-04-2020,PARAMOUNT,1,ROMSONS SYRINGE 21Gx1.5 20ML SIZE,,NOS,,100.000,8.50,01/12/2023,,,0.00,0.00,CGST 6%,51.00,CGST 6%,51.00,952.00,
,PC,10,19-05-2020,144,18-05-2020,3154,11-05-2020,PARAMOUNT,1,LOW POWDER EXAMINATION GLOVES KALTEX,,PKT,,20.000,350.00,,,,0.00,0.00,CGST 6%,420.00,CGST 6%,420.00,7840.00,
,PC,11,19-05-2020,145,18-05-2020,3172,18-05-2020,PARAMOUNT,1,B I VALVE,,NOS,,250.000,9.80,,,,0.00,0.00,CGST 6%,147.00,CGST 6%,147.00,2744.00,
,PC,11,19-05-2020,145,18-05-2020,3172,18-05-2020,PARAMOUNT,2,"ROMSONS SYRINGE 23Gx1"" 2ML SIZE",,NOS,,300.000,1.60,,,,0.00,0.00,CGST 6%,29.00,CGST 6%,29.00,538.00,
,PC,11,19-05-2020,145,18-05-2020,3172,18-05-2020,PARAMOUNT,3,ROMSONS SYRINGE 21Gx1.5 10ML SIZE,,NOS,,200.000,3.35,,,,0.00,0.00,CGST 6%,40.00,CGST 6%,40.00,750.00,
,PC,11,19-05-2020,145,18-05-2020,3172,18-05-2020,PARAMOUNT,4,ROMSONS SYRINGE 21Gx1.5 20ML SIZE,,NOS,,50.000,8.50,,,,0.00,0.00,CGST 6%,26.00,CGST 6%,26.00,477.00,
,PC,11,19-05-2020,145,18-05-2020,3172,18-05-2020,PARAMOUNT,5,LOW POWDER EXAMINATION GLOVES KALTEX,,PKT,,30.000,370.00,,,,0.00,0.00,CGST 6%,666.00,CGST 6%,666.00,12432.00,
,PC,12,19-05-2020,146,18-05-2020,1887,16-05-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,NOT USED PURIFIED WATER IP (50 Ml) STERILE WATER,,BOT,,10.000,13.50,,,,0.00,0.00,CGST 6%,8.00,CGST 6%,8.00,151.00,
,PC,12,19-05-2020,146,18-05-2020,1887,16-05-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,2,MEDI TAPE SURGICAL,,PKT,,3.000,310.00,,,,0.00,0.00,CGST 6%,56.00,CGST 6%,56.00,1042.00,
,PC,13,19-05-2020,146,18-05-2020,1889,18-05-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,SONOGEL,,NOS,,145.000,42.05,,,,0.00,0.00,CGST9%,549.00,CGST9%,549.00,7195.25,
,PC,14,19-05-2020,146,18-05-2020,1890,18-05-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,NIPRO WING CATH   20G PINK,,NOS,,200.000,16.20,,,,0.00,0.00,CGST 6%,194.00,CGST 6%,194.00,3628.00,
,PC,14,19-05-2020,146,18-05-2020,1890,18-05-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,2,NIPRO WING CATH   22G BLUE,,NOS,,100.000,16.20,,,,0.00,0.00,CGST 6%,97.00,CGST 6%,97.00,1814.00,
,PC,14,19-05-2020,146,18-05-2020,1890,18-05-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,3,SODIUM N S BOTTLE 250 ml,,BOT,,10.000,16.80,,,,0.00,0.00,CGST 6%,10.00,CGST 6%,10.00,188.00,
