,,V No,Date,Party,City,Total Amt,Remarks
,,1,23/01/2020,ENERGY PRINT,BARODA,57319,
,,2,23/01/2020,PARAMOUNT,ANAND,2688,
,,3,23/01/2020,G V SALES & SERVICE,BARODA,34944,
,,4,23/01/2020,RINA MEDICAL STORES,,3114.8,
,,5,23/01/2020,Inside Solution,Anand,8232,
,,6,27/01/2020,ENERGY PRINT,BARODA,55703,
,,7,27/01/2020,YOGI SERVICE,,10000,
,,8,29/01/2020,ZEENAL ARTS,,1149,
,,9,29/01/2020,VRAJ PLASTIC,,2400,
,,10,29/01/2020,OM AGENCY,ANAND,1200.9,
,,11,30/01/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,76020,PO CREATED AS PER BILL NO T-1481/2019-20
,,12,23/01/2020,G V SALES & SERVICE,BARODA,11648,
,,13,03/01/2020,PARAMOUNT,ANAND,5320,
,,14,03/01/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,10954,
,,15,03/02/2020,DARSHI MARKETING,BARODA,13250,REF PO NO: 10/01-09/01/2020
,,16,04/02/2020,VISION SALES,,23975.1,
,,17,04/02/2020,CARESTREAM,,299992,MONTHLY STOCK
,,18,04/02/2020,ARIHANT,,15960,
,,19,04/02/2020,AMIT CHEM TRADERS,VADODARA,22372,MONTHLY STOCK
,,20,04/02/2020,ADITYA CHEMICLAS,,4560,MONTHLY STOCK
,,21,04/02/2020,INDUS,ANAND,1792,MONTHLY STOCK
,,22,05/02/2020,PARAMOUNT,ANAND,3036,
,,23,05/02/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,26779.25,
,,24,05/02/2020,DARSHI MARKETING,BARODA,17700,
,,25,05/02/2020,DARSHI MARKETING,BARODA,14160,
,,26,06/02/2020,DARSHI MARKETING,BARODA,443,"QUA.NO.-VAD 09 DTD.6.2.2020, REF. MAIL BY EKTA ACHARYA (HR)"
,,27,07/02/2020,ASHWINI MEDICAL STORE,ANAND,754.5,
,,28,07/02/2020,DARSHI MARKETING,BARODA,2319,REF.PO NO.08-01/20-21 DTD.3.1.2020
,,29,07/02/2020,ADCARE,MODASA,1456,
,,30,08/02/2020,FREELANCE PATEL AGENCY,ANAND,13900,
,,31,10/02/2020,DARSHI MARKETING,BARODA,15458,
,,32,10/02/2020,ARVIND GOHIL,ANAND,2100,
,,33,10/02/2020,G V SALES & SERVICE,BARODA,77176,
,,34,10/02/2020,G V SALES & SERVICE,BARODA,34944,
,,35,10/02/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,33040,
,,36,11/02/2020,SHREE GANESH ENTERPRISE,SURAT,14560,
,,37,13/02/2020,ASHWINI MEDICAL STORE,ANAND,1076,MEDICINE RECEIVED ON DTD.12.02.2020
,,38,13/02/2020,DARSHI MARKETING,BARODA,1298,
,,39,14/02/2020,PARAMOUNT,ANAND,4540,
,,40,14/02/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,29569.25,
,,41,14/02/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,2386,
,,42,15/02/2020,CARESTREAM,,22653.94,
,,43,18/02/2020,OM AGENCY,ANAND,1799.35,
,,44,18/02/2020,Inside Solution,Anand,850,MAIL REF. HIMANSHU / IT DTD.17.2.2020 FOR HR OFFICE
,,45,19/02/2020,Inside Solution,Anand,4740.95,"REF. IT/HIMANSHU, Material allready received against Inv No.10/C237 Dtd.22.10.2019"
,,46,19/02/2020,RINA MEDICAL STORES,,2336.4,REF INV. NO.C-6225 DTD.18.02.2020
,,47,21/02/2020,KENA MARKETING PVT LTD._TAX,BARODA,6058,
,,48,21/02/2020,DARSHI MARKETING,BARODA,91332,AS PER SAMPLE FINALISED.
,,49,22/02/2020,VRAJ PLASTIC,,2400,REPEAT PO
,,50,22/02/2020,FUJI FILM INDIA PVT LTD,AHMEDABAD,71608,MONTHLY STOCK
,,51,22/02/2020,RINA MEDICAL STORES,,1000,CT REQ. DTD.22.02.2020
,,52,22/02/2020,DARSHI MARKETING,BARODA,31773,REF.REJECT PO 6.1/19-20 DTD.27.1.2020 DUE TO MAKE SAPERATE PO FOR 14*17 BAGS AS NOT IN READY CONDITION
,,53,22/02/2020,DARSHI MARKETING,BARODA,23930,REF.REJECT PO 6.1/19-20 DTD.27.1.2020 DUE TO MAKE SAPERATE PO FOR 14*17 BAGS AS NOT IN READY CONDITION
,,54,24/02/2020,MODERN WATCH CO.,ANAND,10000,FOR GIFT SET
,,55,25/02/2020,SWAROOP INDUSTRIES,,29120,FOR MAR/APR-2020
,,56,25/02/2020,NEW GAYATRI ENTERPRISE,,614.4,
,,57,27/02/2020,CARESTREAM,,338962,REPEAT PO
,,58,27/02/2020,G V SALES & SERVICE,BARODA,115762,
,,59,28/02/2020,DARSHI MARKETING,BARODA,2974,FOR BORSAD 6 MONTH QTY
,,60,28/02/2020,ARVIND GOHIL,ANAND,100,FOR RAMESH SIR ALLREADY RECEIVED.
,,61,28/02/2020,AMIT CHEM TRADERS,VADODARA,22372,FOR MAR-2020
,,62,28/02/2020,INDUS,ANAND,1792,FOR MAR-2020
,,63,28/02/2020,VISION SALES,,23975.1,FOR MAR-2020
,,64,29/02/2020,KENA MARKETING PVT LTD._TAX,BARODA,9204,
,,65,29/02/2020,DARSHI MARKETING,BARODA,3138,HETAL Mam_200 Nos. & RITESH Sir_500 Nos.
,,66,29/02/2020,PARAMOUNT,ANAND,4187,FOR MAR-2020
,,67,29/02/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,85765.85,FOR MAR-2020
,,68,02/03/2020,HARIHAR BOOK DEPO,ANAND,570,FOR MAR-2020
,,69,02/03/2020,VRAJ PLASTIC,,175,FOR MAR-2020
,,70,02/03/2020,VRAJ PLASTIC,,695,FOR MAR-2020
,,71,03/03/2020,HARIHAR BOOK DEPO,ANAND,180,FOR HIMANSHU / IT DEPT.
,,72,04/03/2020,ADITYA CHEMICLAS,,2905,FOR MAR-2020
,,73,04/03/2020,RINA MEDICAL STORES,,538.35,FOR MRI
,,74,05/03/2020,DARSHI MARKETING,BARODA,128620,COMMON BAGS FOR ALL BRANCHES.
,,75,05/03/2020,DARSHI MARKETING,BARODA,13688,COMMON ENVELOPE
,,76,05/03/2020,AMIT PAPER MART,,4928,FOR MAR-APR-2020
,,77,05/03/2020,ENERGY PRINT,BARODA,1534,FOR MIHIR JOSHI
,,78,06/03/2020,ENERGY PRINT,BARODA,56640,FOR ALL BRANCHES COMMON BAGS
,,79,06/03/2020,SHREE GANESH ENTERPRISE,SURAT,5320,REF OLD PO.16-12/19-20 DTD.16.12.19
,,80,09/03/2020,BHAVNA CLEANING,ANAND,3820,FOR MAR-2020
,,81,11/03/2020,PARAMOUNT,ANAND,841.8,FOR MRI DEPT.
,,82,11/03/2020,FREELANCE PATEL AGENCY,ANAND,11850,FOR MAR-2020
,,83,12/03/2020,HARIHAR BOOK DEPO,ANAND,470,CASE PURCHASE
,,84,12/03/2020,VRAJ PLASTIC,,2860,WATER GLASS-GENERAL & DISH/SPOON FOR DOCTORS MEETING
,,85,12/03/2020,OM AGENCY,ANAND,220.44,FOR DOCTORS MEETING ON DTD.13.03.2020/REQ REF. HR
,,86,13/03/2020,ENERGY PRINT,BARODA,63720,NEW PO WITH REVISED RATE (REJECT PO REF.78-3/19-20 DTD.6.3.2020)
,,87,14/03/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,5079,FOR MAR-2020
,,88,14/03/2020,OM AGENCY,ANAND,220.44,FOR DOCTORS MEETING/REF.-HR URGENT REQUIREMENT
,,89,16/03/2020,WHITE HOUSE,,10499,FOR MAR-2020
,,90,17/03/2020,NATIONAL PHARMA,AHMEDABAD,14885,FOR MAR-APR-2020
,,91,17/03/2020,FUJI FILM INDIA PVT LTD,AHMEDABAD,100406,FOR MAR-APR 2020
,,92,17/03/2020,BHAVNA CLEANING,ANAND,8350,FOR MAR-APR 2020
,,93,18/03/2020,DARSHI MARKETING,BARODA,3776,FOR DAKOR REQ.6 MONTHS
,,94,18/03/2020,G V SALES & SERVICE,BARODA,34944,FOR MAR-APR 2020
,,95,18/03/2020,SHREE GANESH ENTERPRISE,SURAT,6720,FOR CT REQ.-6 MONTH USED FOR
,,96,19/03/2020,ASHWINI MEDICAL STORE,ANAND,65,FOR CT DEPT. REQ.
,,97,19/03/2020,PARAMOUNT,ANAND,5498,FOR MAR-APR 2020
,,98,20/03/2020,GALAXY SURGICAL,ANAND,5600,FOR MAR-APR 2020
,,99,20/03/2020,CARESTREAM,,369165.92,FOR MAR-APR 2020
,,100,20/03/2020,DARSHI MARKETING,BARODA,10832,COMMON FOR ALL BRANCHES
,,101,20/03/2020,NAGESHWARI PRINTER,ANAND,1600,
,,102,20/03/2020,OM AGENCY,ANAND,1799.35,FOR MAR-APR 2020
,,103,20/03/2020,G V SALES & SERVICE,BARODA,115762,FOR MAR-APR 2020
,,104,21/03/2020,BHAVNA CLEANING,ANAND,2640,FOR MAR-APR 2020
,,105,23/03/2020,ARVIND ELECTRIC STORES,ANAND,1650,FOR X RAY VAN REQ.
,,106,23/03/2020,GALAXY SURGICAL,ANAND,5600,FOR APR-2020
