,,V No,Date,Party,City,Total Amt,Remarks
,,1,18/05/2019,ASHWINI MEDICAL STORE,ANAND,262.4,
,,2,20/05/2019,FREELANCE PATEL AGENCY,ANAND,15360,
,,3,20/05/2019,SHREE GANESH ENTERPRISE,SURAT,13440,
,,5,20/05/2019,KRISHNA AGENCY,GODHRA,280,
,,4,22/05/2019,PARAMOUNT,ANAND,421.7,
,,6,24/05/2019,ASHWINI MEDICAL STORE,ANAND,1970.5,
,,7,25/05/2019,SWAROOP INDUSTRIES,,18200,
,,8,27/05/2019,ENERGY PRINT,BARODA,34959.5,
,,9,27/05/2019,ENERGY PRINT,BARODA,23364,
,,10,03/06/2019,ENERGY PRINT,BARODA,149626.5,
,,11,05/06/2019,OM AGENCY,ANAND,6750,
,,12,06/06/2019,ARVIND GOHIL,ANAND,800,
,,13,06/06/2019,AMIT CHEM TRADERS,VADODARA,22372,
,,14,06/06/2019,G V SALES & SERVICE,BARODA,15436,
,,15,06/06/2019,VRAJ PLASTIC,,2640,
,,16,06/06/2019,SHREE GANESH ENTERPRISE,SURAT,31500,
,,17,08/06/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,17170,
,,18,10/06/2019,AMIT PAPER MART,,5152,
,,19,11/06/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,57016,20 ML
,,20,11/06/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,11300,
,,21,11/06/2019,PARAMOUNT,ANAND,728.84,
,,22,11/06/2019,PARAMOUNT,ANAND,421.9,
,,23,12/06/2019,CARESTREAM,,369768,40 pkt
,,24,13/06/2019,PARAMOUNT,ANAND,188,
,,25,14/06/2019,VRAJ PLASTIC,,1300,
,,26,14/06/2019,HARIHAR BOOK DEPO,ANAND,1795,
,,27,14/06/2019,ASHWINI MEDICAL STORE,ANAND,192,
,,28,14/06/2019,ADITYA CHEMICLAS,,9950,
,,32,14/06/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,38010,
,,29,22/06/2019,NEW GAYATRI ENTERPRISE,,768,
,,30,22/06/2019,GUJARAT SURGICALS,ANAND,2124,
,,31,22/06/2019,OM AGENCY,ANAND,7950.9,
,,33,26/06/2019,ENERGY PRINT,BARODA,18502,
,,34,26/06/2019,SWAROOP INDUSTRIES,,14560,
,,35,27/06/2019,FUJI FILM INDIA PVT LTD,AHMEDABAD,57206,
,,36,28/06/2019,ASHWINI MEDICAL STORE,ANAND,1064,
,,37,01/07/2019,INDUS,ANAND,2128,
,,38,03/07/2019,PARAMOUNT,ANAND,6997,
,,39,03/07/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,12960.5,
,,40,03/07/2019,G V SALES & SERVICE,BARODA,44412,
,,41,05/07/2019,RAHAT KAPAD BHANDAR,,280,
,,42,06/07/2019,FREELANCE PATEL AGENCY,ANAND,12600,
,,43,08/07/2019,CARESTREAM,,327264,
,,44,08/07/2019,ADITYA CHEMICLAS,,4580,
,,45,09/07/2019,HARIHAR BOOK DEPO,ANAND,1340,
,,46,09/07/2019,ADCARE,MODASA,1456,
,,47,09/07/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,60148.7,
,,48,12/07/2019,G V SALES & SERVICE,BARODA,29120,
,,49,13/07/2019,OM AGENCY,ANAND,2565.6,
,,50,15/07/2019,ARIHANT,,14896,
,,51,15/07/2019,AMIT PAPER MART,,5152,
,,52,16/07/2019,VRAJ PLASTIC,,1800,
,,53,16/07/2019,G V SALES & SERVICE,BARODA,38588,
,,54,19/07/2019,OM AGENCY,ANAND,1200.9,
,,55,19/07/2019,ASHWINI MEDICAL STORE,ANAND,249,
,,56,20/07/2019,RENU MARKETING,,3718,
,,57,22/07/2019,OM AGENCY,ANAND,4184.4,
,,58,23/07/2019,SWAROOP INDUSTRIES,,29120,
,,59,25/07/2019,G V SALES & SERVICE,BARODA,38588,
,,60,26/07/2019,ASHWINI MEDICAL STORE,ANAND,341.36,
,,61,26/07/2019,ARVIND GOHIL,ANAND,1500,
,,62,31/07/2019,ARVIND GOHIL,ANAND,13950,
,,63,01/08/2019,ENERGY PRINT,BARODA,103958,
